,GBIL
symbol,GBIL
price,99.99
beta,0
volAvg,807163
mktCap,3155875681
lastDiv,1.059
range,99.56-100.01
changes,0
companyName,Goldman Sachs Access Treasury 0-1 Year ETF
currency,USD
cik,
isin,US3814305294
cusip,381430529
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund seeks to achieve its investment objective by investing at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index. The index is designed to measure the performance of U.S. Treasury Securities with a maximum remaining maturity of 12 months. The investment adviser uses a representative sampling strategy to manage the fund.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GBIL.png
ipoDate,2016-09-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
