,GDMN
symbol,GDMN
price,27.1
beta,0
volAvg,7148
mktCap,0
lastDiv,0
range,16.552-36.56
changes,0.536
companyName,WisdomTree Efficient Gold Plus Gold Miners Strategy Fund
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests, either directly or through a wholly-owned subsidiary, in a portfolio comprised of (i) U.S.-listed gold futures contracts and (ii) global equity securities issued by companies that derive at least 50% of their revenue from the gold mining business. The fund will invest in a representative basket of global equity securities issued by Gold Miners generally weighted by market capitalization. The fund may invest in U.S. Treasury securities and other liquid short-term investments as collateral for its U.S.-listed gold futures contracts. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GDMN.png
ipoDate,2021-12-16
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
