,GREK
symbol,GREK
price,30.42
beta,0
volAvg,26498
mktCap,0
lastDiv,0.061
range,20.74-30.5
changes,0.39
companyName,Global X MSCI Greece ETF
currency,USD
cik,
isin,US37950E3669
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to represent the performance of the broad Greece equity universe. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GREK.png
ipoDate,2011-12-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
