,GSIE
symbol,GSIE
price,31.17
beta,0
volAvg,530468
mktCap,0
lastDiv,0.865
range,24.21-34.65
changes,0.18
companyName,Goldman Sachs ActiveBeta International Equity ETF
currency,USD
cik,
isin,US3814301079
cusip,381430107
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is designed to deliver exposure to equity securities of developed market issuers outside of the United States. The fund invests at least 80% of its assets (exclusive of collateral held from securities lending) in securities included in its underlying index, in depositary receipts representing securities included in its underlying index and in underlying stocks in respect of depositary receipts included in its underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GSIE.png
ipoDate,2015-11-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
