,GSSC
symbol,GSSC
price,59.34
beta,0
volAvg,37931
mktCap,0
lastDiv,0.7140000000000001
range,49.957-63.94
changes,1.28
companyName,Goldman Sachs ActiveBeta U.S. Small Cap Equity ETF
currency,USD
cik,
isin,US3814306029
cusip,381430602
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing at least 80% of its assets in securities included in its index, in depositary receipts representing securities included in the index and in underlying stocks in respect of depositary receipts included in its index. The index is designed to deliver exposure to equity securities of small capitalization U.S. issuers."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GSSC.png
ipoDate,2017-06-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
