,GUNR
symbol,GUNR
price,45.98
beta,0
volAvg,946154
mktCap,0
lastDiv,1.791
range,36.04-49.23
changes,0.43
companyName,FlexShares Morningstar Global Upstream Natural Resources Index Fund
currency,USD
cik,
isin,US33939L4077
cusip,33939L407
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index reflects the performance of a selection of equity securities that are traded in or are issued by companies classiified as developed or emerging markets, as determined by the index provider pursuant to its index methodology. The fund will invest at least 80% of its total assets (exclusive of collateral held from securities lending) in the securities of the index and in ADRs and GDRs based on the securities in the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GUNR.png
ipoDate,2011-09-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
