,HACK
symbol,HACK
price,45.93
beta,0
volAvg,114152
mktCap,0
lastDiv,0.10400000000000001
range,40.65-59.83
changes,0.86
companyName,ETFMG Prime Cyber Security ETF
currency,USD
cik,
isin,US26924G2012
cusip,26924G201
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The index tracks the performance of the exchange-listed equity securities of companies across the globe that (i) engage in providing cyber defense applications or services as a vital component of its overall business or (ii) provide hardware or software for cyber defense activities as a vital component of its overall business. The fund invests at least 80% of its total assets in the component securities of the index and in ADRs and GDRs based on the component securities in the index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HACK.png
ipoDate,2014-11-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
