,HDIV.TO
symbol,HDIV.TO
price,16.45
beta,0
volAvg,60540
mktCap,0
lastDiv,1.375
range,13.91-18.99
changes,0.14
companyName,Hamilton Enhanced Multi-Sector Covered Call ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HDIV.TO.png
ipoDate,2021-07-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
