,HEWJ
symbol,HEWJ
price,28.08
beta,0
volAvg,199480
mktCap,0
lastDiv,12.39
range,26.08-41.04
changes,0.03
companyName,iShares Currency Hedged MSCI Japan ETF
currency,USD
cik,
isin,US46434V8862
cusip,46434V886
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of the large- and mid-capitalization segments of the Japanese equity market with the currency risk inherent in the securities included in the underlying index hedged to the U.S. dollar on a monthly basis.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HEWJ.png
ipoDate,2014-01-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
