,HHL.TO
symbol,HHL.TO
price,8.1
beta,0
volAvg,133919
mktCap,0
lastDiv,0.6380000000000001
range,7.4-9.09
changes,0.09
companyName,Harvest Healthcare Leaders Income ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HHL.TO.png
ipoDate,2014-12-18
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
