,HNDL
symbol,HNDL
price,20.66
beta,0
volAvg,186688
mktCap,0
lastDiv,1.51
range,18.26-25.05
changes,0.12
companyName,Strategy Shares Nasdaq 7 Handl Index ETF
currency,USD
cik,
isin,US86280R5063
cusip,86280R506
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will invest at least 80% of its assets in securities of the NASDAQ 7 HANDL™ Index (the ""index""). The index consists of securities issued by exchange-traded funds (""ETFs"") and is split into two components, with a 50% allocation to fixed income and equity ETFs (the ""Core Portfolio"") and a 50% allocation to ETFs of 12 asset categories (the ""Explore Portfolio"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HNDL.png
ipoDate,2018-01-17
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
