,HXS.TO
symbol,HXS.TO
price,54.5
beta,0
volAvg,21283
mktCap,0
lastDiv,0
range,46.88-57.67
changes,0.53
companyName,Horizons S&P 500 Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HXS.TO.png
ipoDate,2011-01-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
