,HXT.TO
symbol,HXT.TO
price,51.21
beta,0
volAvg,400214
mktCap,0
lastDiv,0
range,43.75-53.54
changes,0.49
companyName,Horizons S&P/TSX 60 Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HXT.TO.png
ipoDate,2010-11-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
