,HYD
symbol,HYD
price,52.44
beta,0
volAvg,1569537
mktCap,0
lastDiv,1.8309999999999997
range,48.42-60.73
changes,0.08
companyName,VanEck High Yield Muni ETF
currency,USD
cik,
isin,US92189H4092
cusip,92189H409
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the benchmark index. The index is comprised of publicly traded municipal bonds that cover the U.S. dollar denominated high yield long-term tax-exempt bond market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYD.png
ipoDate,2009-02-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
