,HYGV
symbol,HYGV
price,41.61
beta,0
volAvg,229483
mktCap,0
lastDiv,2.7640000000000002
range,38.43-47.98
changes,0.33
companyName,FlexShares High Yield Value-Scored Bond Index Fund
currency,USD
cik,
isin,US33939L6627
cusip,33939L662
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index reflects the performance of a broad universe of U.S.-dollar denominated high yield corporate bonds that seeks a higher total return than the overall high yield corporate bond market, as represented by the Northern Trust High Yield US Corporate Bond IndexSM. The fund generally will invest under normal circumstances at least 80% of its total assets (exclusive of collateral held from securities lending) in the securities of its index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYGV.png
ipoDate,2018-07-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
