,IAI
symbol,IAI
price,102.19
beta,0
volAvg,113529
mktCap,0
lastDiv,2.058
range,80.63-114.21
changes,1.48
companyName,iShares U.S. Broker-Dealers & Securities Exchanges ETF
currency,USD
cik,
isin,US4642887941
cusip,464288794
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the investment services sector of the U.S. equity market, as defined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IAI.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
