,ICLN
symbol,ICLN
price,20.99
beta,0
volAvg,7917000
mktCap,0
lastDiv,0.17600000000000002
range,16.35-23.85
changes,0.25
companyName,iShares Global Clean Energy ETF
currency,USD
cik,
isin,US4642882249
cusip,464288224
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index is designed to track the performance of approximately 100 clean energy-related companies. The fund generally invests at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents, as well as in securities not included in the index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ICLN.png
ipoDate,2008-06-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
