,IDEV
symbol,IDEV
price,60.97
beta,0
volAvg,1272737
mktCap,0
lastDiv,1.507
range,47.01-66.84
changes,0.42
companyName,iShares Core MSCI International Developed Markets ETF
currency,USD
cik,
isin,US46435G3267
cusip,46435G326
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is free float adjusted, market cap weighted, and is designed to measure large-, mid- and small-capitalization equity market performance and includes stocks from North America, Europe, Australasia and the Far East."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IDEV.png
ipoDate,2017-03-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
