,IDVO
symbol,IDVO
price,27.96
beta,0
volAvg,11419
mktCap,0
lastDiv,0
range,23.0-29.08
changes,0.335
companyName,Amplify International Enhanced Dividend Income ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its net assets (plus borrowings for investment purposes) in dividend-paying U.S. exchange-traded American depositary receipt (“ADR”) securities (“Equity Securities”) that are organized or located outside of the U.S. and will opportunistically utilize an “option strategy” consisting of writing (selling) U.S. exchange-traded covered call option contracts on such Equity Securities. It is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IDVO.png
ipoDate,2022-09-08
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
