,IEMG
symbol,IEMG
price,51.415
beta,0
volAvg,16999733
mktCap,59168381589
lastDiv,1.263
range,41.44-61.08
changes,0.545
companyName,iShares Core MSCI Emerging Markets ETF
currency,USD
cik,
isin,US46434G1031
cusip,46434G103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure large-, mid- and small-cap equity market performance in the global emerging markets."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IEMG.png
ipoDate,2012-10-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
