,IHE
symbol,IHE
price,185.56
beta,0
volAvg,9847
mktCap,367449809
lastDiv,3.733
range,166.99-202.77
changes,2.2
companyName,iShares U.S. Pharmaceuticals ETF
currency,USD
cik,
isin,US4642888360
cusip,464288836
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the pharmaceuticals sector of the U.S. equity market. The underlying index includes pharmaceutical companies such as manufacturers of prescription or over-the-counter drugs or vaccines. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IHE.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
