,IIGV
symbol,IIGV
price,23.41
beta,0
volAvg,5052
mktCap,0
lastDiv,0.7030000000000002
range,21.51-26.35
changes,0.12
companyName,Invesco Investment Grade Value ETF
currency,USD
cik,
isin,US46139W6012
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index is designed to provide exposure to higher value, U.S. investment grade bonds. In addition, the underlying index seeks to incorporate securities with the highest ""quality scores"" (within the eligible universe of U.S. investment grade bonds) as determined by the index provider."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IIGV.png
ipoDate,2018-07-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
