,IJJ
symbol,IJJ
price,112.25
beta,0
volAvg,636604
mktCap,4484387725
lastDiv,1.984
range,89.62-112.49
changes,2.81
companyName,iShares S&P Mid-Cap 400 Value ETF
currency,USD
cik,
isin,US4642877058
cusip,464287705
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the mid-capitalization value sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IJJ.png
ipoDate,2000-07-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
