,ILTB
symbol,ILTB
price,54.48
beta,0
volAvg,48708
mktCap,0
lastDiv,2.013
range,46.54-69.32
changes,0.36
companyName,iShares Core 10+ Year USD Bond ETF
currency,USD
cik,
isin,US4642894798
cusip,464289479
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The underlying index measures the performance of U.S. dollar-denominated taxable bonds that are rated either investment-grade or high yield with remaining maturities greater than ten years. The fund will invest at least 80% of its assets in the component securities of the underlying index and TBAs that have economic characteristics that are substantially identical to the economic characteristics of the component securities of the underlying index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ILTB.png
ipoDate,2009-12-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
