,IMCG
symbol,IMCG
price,58.76
beta,0
volAvg,141762
mktCap,0
lastDiv,0.489
range,48.44-67.35
changes,1.15
companyName,iShares Morningstar Mid-Cap Growth ETF
currency,USD
cik,
isin,US4642883072
cusip,464288307
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of stocks issued by mid-capitalization companies that have exhibited above-average ""growth"" characteristics as determined by Morningstar, Inc.'s proprietary index methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IMCG.png
ipoDate,2004-06-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
