,IOO
symbol,IOO
price,67.96
beta,0
volAvg,166421
mktCap,2905289728
lastDiv,1.282
range,58.45-77.69
changes,0.77
companyName,iShares Global 100 ETF
currency,USD
cik,
isin,US4642875722
cusip,464287572
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IOO.png
ipoDate,2000-12-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
