,IPAC
symbol,IPAC
price,58.08
beta,0
volAvg,165259
mktCap,0
lastDiv,1.479
range,46.71-62.73
changes,0.29
companyName,iShares Core MSCI Pacific ETF
currency,USD
cik,
isin,US46434V6965
cusip,46434V696
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is a free float-adjusted market capitalization-weighted index which consists of securities from the following five countries or regions: Australia, Hong Kong, Japan, New Zealand and Singapore."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IPAC.png
ipoDate,2014-06-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
