,IPO
symbol,IPO
price,28.65
beta,0
volAvg,55306
mktCap,0
lastDiv,0.066
range,23.62-51.39
changes,0.74
companyName,Renaissance IPO ETF
currency,USD
cik,
isin,US7599372049
cusip,759937204
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the index. It normally invests at least 80% of its total assets in securities that comprise the index. The index is a portfolio of companies that have recently completed an initial public offering (""IPO"") and are listed on a U.S. exchange. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IPO.png
ipoDate,2013-10-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
