,IQDF
symbol,IQDF
price,22.47
beta,0
volAvg,130203
mktCap,0
lastDiv,1.1540000000000001
range,17.39-25.93
changes,0.07
companyName,FlexShares International Quality Dividend Index Fund
currency,USD
cik,
isin,US33939L8375
cusip,33939L837
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index reflects the performance of a selection of companies that, in aggregate, possess greater financial strength and stability characteristics relative to the Northern Trust International Large Cap Index, a float-adjusted market-capitalization weighted index of non-U.S. domiciled large- and mid-capitalization companies. The fund will invest at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IQDF.png
ipoDate,2013-04-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
