,IQSI
symbol,IQSI
price,26.87
beta,0
volAvg,18672
mktCap,0
lastDiv,0.717
range,20.935-29.402
changes,0.1923
companyName,IQ Candriam ESG International Equity ETF
currency,USD
cik,
isin,US45409B4538
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Advisor employs a ""passive management""?-?or indexing?-?investment approach designed to track the performance of the underlying index. The underlying index is designed to deliver exposure to equity securities of companies meeting environmental, social and corporate governance (ESG) criteria developed by Candriam and weighted using a market-capitalization weighting methodology."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IQSI.png
ipoDate,2019-12-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
