,ITB
symbol,ITB
price,69.57
beta,0
volAvg,2162834
mktCap,0
lastDiv,0.522
range,48.02-72.07
changes,3.07
companyName,iShares U.S. Home Construction ETF
currency,USD
cik,
isin,US4642887529
cusip,464288752
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ITB.png
ipoDate,2006-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
