,IUSG
symbol,IUSG
price,86.1
beta,0
volAvg,1125042
mktCap,9105075086
lastDiv,0.8400000000000001
range,76.95-108.72
changes,1.24
companyName,iShares Core S&P U.S. Growth ETF
currency,USD
cik,
isin,US4642876712
cusip,464287671
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IUSG.png
ipoDate,2000-07-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
