,IVOV
symbol,IVOV
price,170.99
beta,0
volAvg,14009
mktCap,0
lastDiv,3.019
range,138.76-171.82
changes,4.03
companyName,Vanguard S&P Mid-Cap 400 Value Index Fund
currency,USD
cik,
isin,US9219328443
cusip,921932844
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the S&P MidCap 400® Value Index, which represents the value companies, as determined by the index sponsor, of the S&P MidCap 400 Index. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IVOV.png
ipoDate,2010-09-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
