,IVW
symbol,IVW
price,62.44
beta,0
volAvg,2503383
mktCap,8167151750
lastDiv,0.522
range,55.3-78.65
changes,0.66
companyName,iShares S&P 500 Growth ETF
currency,USD
cik,
isin,US4642873099
cusip,464287309
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index measures the performance of the large-capitalization growth sector of the U.S. equity market. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IVW.png
ipoDate,2000-05-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
