,IXP
symbol,IXP
price,62.06
beta,0
volAvg,61022
mktCap,263755000
lastDiv,0.78
range,49.81-82.53
changes,0.49
companyName,iShares Global Comm Services ETF
currency,USD
cik,
isin,US4642872752
cusip,464287275
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure the performance of global equities in the communication services sector. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IXP.png
ipoDate,2001-11-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
