,IYE
symbol,IYE
price,46.86
beta,0
volAvg,693435
mktCap,977031000
lastDiv,1.5679999999999998
range,34.68-50.75
changes,-0.79
companyName,iShares U.S. Energy ETF
currency,USD
cik,
isin,US4642877967
cusip,464287796
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the energy sector of the U.S. equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYE.png
ipoDate,2000-06-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
