,IYG
symbol,IYG
price,172.99
beta,0
volAvg,46622
mktCap,1799096000
lastDiv,3.261
range,137.46-203.25
changes,2.17
companyName,iShares U.S. Financial Services ETF
currency,USD
cik,
isin,US4642877702
cusip,464287770
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the financial services sector of the U.S. equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYG.png
ipoDate,2000-06-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
