,IYK
symbol,IYK
price,198.18
beta,0
volAvg,85027
mktCap,743175000
lastDiv,4.384
range,178.52-215.41
changes,2.09
companyName,iShares US Consumer Staples ETF
currency,USD
cik,
isin,US4642878122
cusip,464287812
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the consumer staples sector of the U.S. equity market. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYK.png
ipoDate,2000-06-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
