,IYT
symbol,IYT
price,232.19
beta,0
volAvg,170109
mktCap,650132000
lastDiv,2.9930000000000003
range,192.71-276.87
changes,7.17
companyName,iShares Transportation Average ETF
currency,USD
cik,
isin,US4642871929
cusip,464287192
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of companies within the transportation sector of the U.S. equity market as determined by S&P Dow Jones Indices LLC. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYT.png
ipoDate,2003-10-06
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
