,IYW
symbol,IYW
price,82.69
beta,0
volAvg,499296
mktCap,1707548417
lastDiv,0.376
range,69.49-108.16
changes,1.29
companyName,iShares U.S. Technology ETF
currency,USD
cik,
isin,US4642877215
cusip,464287721
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the technology sector of the U.S. equity market, as defined by FTSE Russell. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYW.png
ipoDate,2000-05-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
