,JHMM
symbol,JHMM
price,50.48
beta,0
volAvg,272490
mktCap,1036754757
lastDiv,0.539
range,41.96-53.99
changes,1.06
companyName,John Hancock Multifactor Mid Cap ETF
currency,USD
cik,
isin,US47804J2069
cusip,47804J206
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its net assets (plus any borrowings for investment purposes) in securities that compose the fund's index. The index is designed to comprise a subset of securities in the U.S. Universe issued by companies whose market capitalizations are between the 200th and 951st largest U.S. company at the time of reconstitution.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JHMM.png
ipoDate,2015-09-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
