,JIRE
symbol,JIRE
price,54.97
beta,0
volAvg,316519
mktCap,0
lastDiv,1.311
range,42.73-55.1
changes,0.39
companyName,JPMorgan International Research Enhanced Equity ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its assets in equity securities. It seeks to outperform the MSCI EAFE Index over time while maintaining similar risk characteristics, including sector and geographic risks. In implementing its strategy, the fund primarily invests in securities included within the universe of the index. In addition, it may also invest in securities not included within the index. The fund only invests in the securities of companies located in developed markets."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JIRE.png
ipoDate,2022-06-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
