,JMEE
symbol,JMEE
price,50.4
beta,0
volAvg,25686
mktCap,0
lastDiv,0.661
range,44.03-53.33
changes,1.17
companyName,JPMorgan Market Expansion Enhanced Equity ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will hold at least 80% of its assets in stocks in the index. The index is an index which includes stocks of small- and mid-capitalization companies. The fund may use futures contracts to gain or reduce exposure to its index, maintain liquidity and minimize transaction costs."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JMEE.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
