,JNK
symbol,JNK
price,93.63
beta,0
volAvg,8371954
mktCap,8358780798
lastDiv,4.881
range,86.28-106.03
changes,0.73
companyName,SPDR Bloomberg High Yield Bond ETF
currency,USD
cik,
isin,US78468R6229
cusip,78468R622
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of publicly issued U.S. dollar denominated high yield corporate bonds with above-average liquidity."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JNK.png
ipoDate,2007-11-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
