,JNUG
symbol,JNUG
price,42.5
beta,0
volAvg,1544027
mktCap,0
lastDiv,0.336
range,20.45-93.66
changes,0.21
companyName,Direxion Daily Junior Gold Miners Index Bull 2X Shares
currency,USD
cik,0001424958
isin,US25460G8318
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, ETFs that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes companies from markets that are freely investable to foreign investors, including ""emerging markets,"" as that term is defined by the index provider. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JNUG.png
ipoDate,2013-10-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
