,JOET
symbol,JOET
price,28.05
beta,0
volAvg,50906
mktCap,0
lastDiv,0.334
range,24.202-30.78
changes,0.38
companyName,Virtus Terranova U.S. Quality Momentum ETF
currency,USD
cik,
isin,US92790A5048
cusip,92790A504
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund will invest not less than 80% of its assets in component securities of the index. The index is designed to track the performance of quality large-capitalization companies listed in the United States. The index includes common stock and ADRs. The fund will invest not less than 80% of its net assets (plus the amount of any borrowings for investment purposes) in U.S. securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JOET.png
ipoDate,2020-11-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
