,KBWD
symbol,KBWD
price,17.11
beta,0
volAvg,98662
mktCap,0
lastDiv,1.687
range,13.57-20.2
changes,0.34
companyName,Invesco KBW High Dividend Yield Financial ETF
currency,USD
cik,
isin,US46138E6106
cusip,46138E610
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is a modified-dividend yield-weighted index of companies principally engaged in the business of providing financial services and products, as determined by the index provider. The underlying index is designed to track the performance of financial companies with competitive dividend yields that are publicly-traded in the U.S."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KBWD.png
ipoDate,2010-12-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
