,KGRN
symbol,KGRN
price,31.66
beta,0
volAvg,29700
mktCap,0
lastDiv,0.436
range,24.1-42.75
changes,0
companyName,KraneShares MSCI China Clean Technology ETF
currency,USD
cik,
isin,US5007678502
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its net assets in instruments in its index or in instruments that have economic characteristics similar to those in the index. The underlying index is a free-float adjusted market capitalization weighted index modified per the 10/40 Constraint designed to measure the equity market performance of Chinese companies in the industrial, utility, real estate and technology sectors that contribute to a more environmentally sustainable economy. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KGRN.png
ipoDate,2017-10-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
