,LGOV
symbol,LGOV
price,22.65
beta,0
volAvg,19831
mktCap,0
lastDiv,0.40600000000000014
range,21.03-27.29
changes,0.02
companyName,First Trust Long Duration Opportunities ETF
currency,USD
cik,
isin,US33738D6067
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund will invest at least 80% of its net assets (including investment borrowings) in a portfolio of investment-grade debt securities issued or guaranteed by the U.S. government, its agencies or government-sponsored entities, including publicly-issued U.S. Treasury securities and mortgage-related securities. It may also invest in exchange-traded funds (""ETFs"") that principally invest in such securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/LGOV.png
ipoDate,2019-01-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
