,LVHD
symbol,LVHD
price,38.81
beta,0
volAvg,143624
mktCap,0
lastDiv,1.257
range,33.21-41.412
changes,0.54
companyName,Franklin U.S. Low Volatility High Dividend Index ETF
currency,USD
cik,
isin,US52468L4068
cusip,52468L406
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index is composed of stocks of U.S. companies across a wide range of market capitalizations, including the largest 3,000 U.S. stocks as determined by the Solactive US Broad Market Index. The fund will invest at least 80% of its net assets, plus borrowings for investment purposes, if any, in securities that compose the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/LVHD.png
ipoDate,2015-12-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
