,MJUS
symbol,MJUS
price,1.84
beta,0
volAvg,150963
mktCap,0
lastDiv,0
range,1.7-5.9
changes,0.08
companyName,ETFMG U.S. Alternative Harvest ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in securities of companies that derive at least 50% of their net revenue from the “Cannabis Business” in the United States, and in derivatives that have economic characteristics similar to such securities. It will concentrate at least 25% of its investments in the pharmaceuticals, biotechnology and life sciences industry group. The fund is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MJUS.png
ipoDate,2021-05-13
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
