,MLN
symbol,MLN
price,18.22
beta,0
volAvg,320152
mktCap,0
lastDiv,0.428
range,16.13-20.94
changes,0.17
companyName,VanEck Long Muni ETF
currency,USD
cik,
isin,US92189F5364
cusip,92189F536
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund normally invests at least 80% of its total assets in fixed income securities that comprise the index. The index is comprised of publicly traded municipal bonds that cover the U.S. dollar denominated long-term tax-exempt bond market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MLN.png
ipoDate,2008-01-02
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
