,MNA
symbol,MNA
price,31.58
beta,0
volAvg,100213
mktCap,0
lastDiv,0.766
range,30.08-32.25
changes,0.05
companyName,IQ Merger Arbitrage ETF
currency,USD
cik,
isin,US45409B8000
cusip,45409B800
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The underlying index seeks to employ a systematic investment process designed to identify opportunities in companies whose equity securities trade in developed markets, including the U.S., and which are involved in announced mergers, acquisitions and other buyout-related transactions. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MNA.png
ipoDate,2009-11-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
