,MSOS
symbol,MSOS
price,6.7
beta,0
volAvg,2908619
mktCap,0
lastDiv,0
range,6.09-25.63
changes,0.3
companyName,AdvisorShares Pure US Cannabis ETF
currency,USD
cik,0001408970
isin,US00768Y4531
cusip,00768Y453
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively managed ETF that seeks to achieve its investment objective by investing, under normal circumstances, at least 80% of its net assets (plus any borrowings for investment purposes) in securities of companies that derive at least 50% of their net revenue from the marijuana and hemp business in the United States and in derivatives that have economic characteristics similar to such securities. It will concentrate at least 25% of its investments in the pharmaceuticals, biotechnology & life sciences industry group within the health care sector. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MSOS.png
ipoDate,2020-09-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
