,NUGO
symbol,NUGO
price,18.82
beta,0
volAvg,481424
mktCap,0
lastDiv,0.045
range,16.35-24.13
changes,0.31
companyName,Nuveen Growth Opportunities ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund seeks to achieve its investment objective by investing primarily in exchange-traded equity securities of U.S. companies with market capitalizations of at least $1 billion. The fund may also invest up to 20% of its assets in exchange-traded American Depositary Receipts (“ADRs”) and common stocks of non-U.S. issuers, including emerging market issuers, that are listed and trade on a foreign exchange contemporaneously with fund shares. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NUGO.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
