,NUSI
symbol,NUSI
price,18.77
beta,0
volAvg,135788
mktCap,0
lastDiv,1.631
range,18.3-25.87
changes,0.21
companyName,Nationwide Nasdaq-100 Risk-Managed Income ETF
currency,USD
cik,
isin,US26922A1723
cusip,26922A172
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively-managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective principally by investing in a portfolio of the stocks included in the Nasdaq-100® Index and an options collar (i.e., a mix of written (sold) call options and long (bought) put options) on the Nasdaq-100. Under normal circumstances, at least 80% of the fund’s net assets, plus borrowings for investment purposes, will be invested in securities, or derivative instruments linked to securities, of companies that are included in the fund’s reference index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NUSI.png
ipoDate,2019-12-19
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
