,PBJ
symbol,PBJ
price,46.09
beta,0
volAvg,77004
mktCap,96789000
lastDiv,0.828
range,41.86-49.46
changes,0.56
companyName,Invesco Dynamic Food & Beverage ETF
currency,USD
cik,
isin,US46137V7534
cusip,46137V753
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of common stocks of U.S. food and beverage companies. These companies are engaged principally in the manufacture, sale or distribution of food and beverage products, agricultural products and products related to the development of new food technologies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PBJ.png
ipoDate,2005-06-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
