,PDBC
symbol,PDBC
price,14.95
beta,0
volAvg,5195398
mktCap,0
lastDiv,1.928
range,14.0-20.76
changes,0.26
companyName,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
currency,USD
cik,
isin,US46090F1003
cusip,46090F100
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund is an actively managed exchange-traded fund (""ETF"") that seeks to achieve its investment objective by investing in a combination of financial instruments that are economically linked to the world's most heavily traded commodities. Commodities are assets that have tangible properties, such as oil, agricultural produce or raw metals."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PDBC.png
ipoDate,2014-11-07
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
