,PEJ
symbol,PEJ
price,41.35
beta,0
volAvg,152786
mktCap,57890000
lastDiv,0.158
range,34.36-50.94
changes,0.52
companyName,Invesco Dynamic Leisure and Entertainment ETF
currency,USD
cik,
isin,US46137V7203
cusip,46137V720
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying intellidex. The underlying intellidex was composed of common stocks of U.S. leisure and entertainment companies. These companies are engaged principally in the design, production or distribution of goods or services in the leisure and entertainment industries. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PEJ.png
ipoDate,2005-06-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
