,PFFR
symbol,PFFR
price,19.08
beta,0
volAvg,17824
mktCap,0
lastDiv,1.4400000000000004
range,15.94-23.65
changes,0.15
companyName,InfraCap REIT Preferred ETF
currency,USD
cik,
isin,US26923G4001
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund will invest not less than 90% of its assets in component securities of the underlying index. The underlying index is comprised of preferred securities listed on U.S. exchanges that are issued by real estate investment trusts (""REITs""). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PFFR.png
ipoDate,2017-02-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
