,PFFV
symbol,PFFV
price,24.35
beta,0
volAvg,102186
mktCap,0
lastDiv,1.365
range,22.14-27.04
changes,0.08
companyName,Global X Variable Rate Preferred ETF
currency,USD
cik,
isin,US37954Y3760
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets, plus borrowings for investments purposes (if any), in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to track the broad-based performance of the U.S.-listed variable rate preferred securities market. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PFFV.png
ipoDate,2020-06-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
