,PIE
symbol,PIE
price,18.8905
beta,0
volAvg,78709
mktCap,0
lastDiv,0.614
range,15.73-25.04
changes,-0.0095
companyName,Invesco DWA Emerging Markets Momentum ETF
currency,USD
cik,
isin,US46138E8672
cusip,46138E867
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is comprised of equity securities of large capitalization companies based in countries classified as emerging markets.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PIE.png
ipoDate,2007-12-28
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
