,PJUL
symbol,PJUL
price,31.33
beta,0
volAvg,87152
mktCap,0
lastDiv,0.22
range,28.27-31.42
changes,0.29
companyName,Innovator S&P 500 Power Buffer ETF — July
currency,USD
cik,
isin,US45782C8139
cusip,45782C813
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests at least 80% of its net assets in FLexible EXchange® Options (""FLEX Options"") that reference the SPDR® S&P 500® ETF Trust (the “Underlying ETF”). FLEX Options are exchange-traded options contracts with uniquely customizable terms. The Underlying ETF invests in equity securities of companies, including companies with large capitalizations. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PJUL.png
ipoDate,2018-08-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
