,PRF
symbol,PRF
price,163.7
beta,0
volAvg,80786
mktCap,5640427392
lastDiv,3.122
range,137.81-174.42
changes,2.48
companyName,Invesco FTSE RAFI US 1000 ETF
currency,USD
cik,
isin,US46137V6130
cusip,46137V613
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of 1,000 common stocks that FTSE International Limited and Research Affiliates LLC strictly in accordance with their guidelines and mandated procedures, include to track the performance of the largest U.S. companies based on the following four fundamental measures: book value, cash flow, sales and dividends."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PRF.png
ipoDate,2005-12-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
